phi,Re,"Cd,meas"
0.796,0.1368,236.317
0.829,0.2411,139.464
0.853,0.0793,379.396
0.929,0.2628,107.052
0.858,0.0843,355.995
0.816,0.1336,209.953
0.762,0.1938,186.385
0.68,0.1017,342.45
0.934,0.1538,171.815
0.755,0.2085,167.655
0.836,0.1774,180.486
0.813,1.0073,36.809
0.725,0.7686,49.462
0.807,0.3862,83.739
0.963,0.2224,115.101
0.788,0.4894,76.277
0.841,0.2261,143.538
0.813,0.3021,107.635
0.876,0.4731,64.59
0.898,0.4006,78.422
0.81,0.3689,91.038
0.865,0.3437,90.379
0.78,0.1865,183.554
0.876,0.3019,91.664
0.898,0.1278,223.8
0.88,0.6243,49.079
0.859,0.1829,163.469
0.972,0.3455,74.817
0.89,1.3643,24.853
0.933,0.0992,278.982
0.942,0.1103,236.383
1,1.921,16.895
0.904,1.0705,32.23
1,0.829,34.863
0.917,1.22,24.912
0.952,0.9721,30.557
0.784,0.3453,94.803
0.983,0.8061,39.067
0.871,1.5701,19.379
1,0.7988,38.136
1,0.5972,49.767
0.846,0.5161,59.387
0.89,2.0179,18.366
0.838,1.4935,24.288
0.744,0.7338,50.197
0.789,1.2772,24.666
0.857,1.1324,29.949
0.863,0.5939,48.321
0.828,0.5581,65.091
0.949,0.685,44.32
0.946,0.4457,61.331
0.756,0.5464,60.817
0.586,0.081,367.004
0.803,0.0787,373.021
0.896,0.6154,47.481
0.74,0.1029,287.747
1,0.3491,76.023
1,0.3717,74.598
0.955,0.4167,67.82
0.969,0.5189,51.727
0.976,0.09,313.828
0.91,1.0084,31.153
0.869,0.6613,46.268
0.848,0.5786,53.49
1,0.4077,72.146
0.882,0.6063,53.353
0.936,0.3958,74.538
0.999,0.3871,67.981
0.904,0.4285,67.684
0.88,0.4326,68.333
0.922,0.45,70.045
0.902,0.2938,95.154
0.895,0.1987,130.876
0.811,0.2509,104.979
0.953,0.6775,42.883
0.797,0.5622,46.848
0.947,0.3054,86.939
0.857,0.2321,110.123
0.836,0.4602,65.63
0.829,0.1436,189.756
0.855,0.386,75.64
0.983,0.3065,88.032
0.81,0.4551,66.812
0.759,0.0948,367.701
0.781,0.1508,179.655
0.869,0.0716,453.688
0.899,0.0726,396.758
0.918,0.1586,194.559
1,0.1183,246.445
0.964,0.1119,233.008
0.943,0.1315,209.469
0.962,0.1027,271.115
0.736,0.0882,307.768
0.939,0.1362,224.061
1,0.0557,563.03
0.769,0.1157,268.335
0.835,0.1065,297.843
0.895,0.0981,290.955
0.989,0.1283,194.771
0.843,0.0635,446.759
0.907,0.0577,477.012
0.612,0.0378,798.364
0.836,0.0647,410.202
0.737,0.0885,375.872
0.693,0.1063,339.189
0.687,0.1096,456.88
